CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numIodine,numSilicon
100-02-7,4-Nitrophenol,,,,,1.07,1.72,0.82,5.876,11.06,,,,,,,,,,,
552-16-9,2-Nitrobenzoic acid,,,,,0.99,1.48,0.82,5.9,11.06,,,,,,,,,,,
87-42-3,6-Chloropurine,,,,,1.53,1.6,0.82,6.169,11.06,,,,,,,,,,,
96-97-9,5-Nitrosalicylic acid,,,,,1.33,1.23,0.82,6.305,11.06,,,,,,,,,,,
58909-39-0,Thiotriazinone,,,,,1.55,1.78,0.82,6.602,11.06,,,,,,,,,,,
65872-41-5,ATMAA,,,,,1.57,2.84,0.82,8.658,11.06,,,,,,,,,,,
59277-89-3,Acyclovir,,,,,1.9,1.88,0.82,8.87,11.06,,,,,,,,,,,
396-01-0,Triamterene,,,,,2.95,1.56,0.82,10.87,11.06,,,,,,,,,,,
144-49-0,Fluoroacetic acid,,,,,0.27,1.18,0.81,2.448,11.06,,,,,,,,,,,
55-22-1,Isonicotinic acid,,,,,0.88,1.29,0.81,4.796,11.06,,,,,,,,,,,
99-96-7,4-Hydroxybenzoic acid,,,,,0.93,0.9,0.81,4.867,11.06,,,,,,,,,,,
68373-14-8,Sulbactam,,,,,1.16,2.23,0.81,8.145,11.06,,,,,,,,,,,
530-59-6,3.5-Dimethoxy-4-hydroxycinnamic acid,,,,,1.5,1.72,0.81,8.608,11.06,,,,,,,,,,,
121-61-9,4-N-Acetylbenzenesulfonamide,,,,,1.42,2.28,0.81,8.623,11.06,,,,,,,,,,,
1137-42-4,4-Hydroxybenzophenone,,,,,1.59,1.89,0.81,8.802,11.06,,,,,,,,,,,
69-53-4,Ampicillin,,,,,2.48,2.99,0.81,13.86,11.06,,,,,,,,,,,
62-56-6,thiourea,,,,,1,0.83,0.8,3.384,11.06,,,,,,,,,,,
385-00-2,2.6-Difluorobenzoic acid,,,,,0.69,0.86,0.8,4.478,11.06,,,,,,,,,,,
123-08-0,4-Hydroxybenzaldehyde,,,,,1.01,1.39,0.8,5.25,11.06,,,,,,,,,,,
767-00-0,4-Cyanophenol,,,,,0.94,1.63,0.8,5.42,11.06,,,,,,,,,,,
2581-34-2,3-Methyl-4-nitrophenol,,,,,1.07,1.63,0.8,6.06,11.06,,,,,,,,,,,
50685-26-2,a-Cyano-p-toluic acid,,,,,0.88,1.42,0.8,6.548,11.06,,,,,,,,,,,
1135-24-6,3-Methoxy-4-hydroxycinnamic acid,,,,,1.25,1.53,0.8,7.423,11.06,,,,,,,,,,,
59-66-5,Acetazolamide,,,,,1.64,2.36,0.8,8.43,11.06,,,,,,,,,,,
36894-69-6,Labetalol,,,,,2.19,2.05,0.8,13.51,11.06,,,,,,,,,,,
75847-73-3,Enalapril,,,,,1.51,2.48,0.8,13.87,11.06,,,,,,,,,,,
105186-35-4,OM08,,,,,1.87,3.35,0.8,14.1,11.06,,,,,,,,,,,
20594-83-6,Nalbuphine,,,,,2.5,2.73,0.8,14.28,11.06,,,,,,,,,,,
79-11-8,Chloroacetic acid,,,,,0.43,1.03,0.79,2.862,11.06,,,,,,,,,,,
771-61-9,Pentafluorophenol,,,,,0.36,0.83,0.79,3.568,11.06,,,,,,,,,,,
600-05-5,2.3-Dibromopropanoic acid,,,,,0.72,1.75,0.79,5.192,11.06,,,,,,,,,,,
554-84-7,3-Nitrophenol,,,,,1.05,1.57,0.79,5.692,11.06,,,,,,,,,,,
99-93-4,4'-Hydroxyacetophenone,,,,,1.01,1.5,0.79,5.78,11.06,,,,,,,,,,,
626-41-5,3.5-dibromophenol,,,,,1.31,0.97,0.79,5.96,11.06,,,,,,,,,,,
4271-13-0,Methylphenylphosphinic acid,,,,,0.93,1.42,0.79,6.03,11.06,,,,,,,,,,,
64-10-8,Phenylurea,,,,,1.11,1.33,0.79,6.332,11.06,,,,,,,,,,,
13979-81-2,4-Methyl-3.5-dibromophenol,,,,,1.3,0.97,0.79,6.436,11.06,,,,,,,,,,,
5344-97-8,3.5-Dimethyl-4-nitrophenol,,,,,1.07,1.65,0.79,6.554,11.06,,,,,,,,,,,
2423-71-4,2.6-Dimethyl-4-nitrophenol,,,,,1.12,1.64,0.79,6.605,11.06,,,,,,,,,,,
3139-05-7,2.5-Dimethyl-4-nitrophenol,,,,,1.12,1.55,0.79,6.62,11.06,,,,,,,,,,,
610-30-0,2.4-Dinitrobenzoic acid,,,,,1.35,1.9,0.79,7.26,11.06,,,,,,,,,,,
372-09-8,Cyanoacetic acid,,,,,0.38,1.2,0.78,3.097,11.06,,,,,,,,,,,
64-69-7,Iodoacetic acid,,,,,0.81,1.14,0.78,3.85,11.06,,,,,,,,,,,
611-20-1,2-Cyanophenol,,,,,0.92,1.33,0.78,4.531,11.06,,,,,,,,,,,
120-73-0,Purine,,,,,1.32,1.25,0.78,5.128,11.06,,,,,,,,,,,
99-53-6,2-Methyl-4-nitrophenol,,,,,1.1,1.6,0.78,6.324,11.06,,,,,,,,,,,
93-76-5,2.4.5-Trichlorophenoxyacetic acid,,,,,1.4,1.34,0.78,7.644,11.06,,,,,,,,,,,
79-94-7,3.3'.5.5'-tetrabromobisphenol A,,,,,2.61,2.05,0.78,13.69,11.06,,,,,,,,,,,
504-63-2,1.3-Propanediol,,,,,0.4,0.89,0.77,2.863,11.06,,,,,,,,,,,
79-08-3,Bromoacetic acid,,,,,0.56,1.06,0.77,3.281,11.06,,,,,,,,,,,
118-92-3,o-aminobenzoic acid,,,,,1.08,1.49,0.77,5.706,11.06,,,,,,,,,,,
2152-56-9,Arabitol,,,,,1.03,1.49,0.77,5.9,11.06,,,,,,,,,,,
70-70-2,4-Hydroxypropriophenone,,,,,1,1.3,0.77,6.11,11.06,,,,,,,,,,,
103323-29-1,3-Hydroxybutyrophenone,,,,,1,1.32,0.77,6.65,11.06,,,,,,,,,,,
1009-11-6,4-Hydroxybutyrophenone,,,,,1,1.32,0.77,6.65,11.06,,,,,,,,,,,
94-75-7,2.4-Dichlorophenoxyacetic acid,,,,,1.21,1.36,0.77,6.985,11.06,,,,,,,,,,,
2327-02-8,3.4-Dichlorophenylurea,,,,,1.4,1.46,0.77,7.05,11.06,,,,,,,,,,,
33963-55-2,2-(Methylsulfonyl)benzoic acid,,,,,1.06,1.78,0.77,7.117,11.06,,,,,,,,,,,
2589-71-1,4-Hydroxypentanophenone,,,,,1,1.32,0.77,7.16,11.06,,,,,,,,,,,
121-52-8,3-Nitrobenzenesulfonamide,,,,,1.39,2.07,0.77,7.526,11.06,,,,,,,,,,,
51781-06-7,carteolol,,,,,1.56,2.02,0.77,11.41,11.06,,,,,,,,,,,
306-60-5,4-Aminobutylguanidine,,,,,0.88,0.8,0.76,5.29,11.06,,,,,,,,,,,
50-67-9,Serotonin,,,,,1.79,1.75,0.76,8.153,11.06,,,,,,,,,,,
114-86-3,Phenformin,,,,,1.69,1.05,0.76,8.402,11.06,,,,,,,,,,,
85879-22-7,4(4-Bromophenoxy)phenylurea,,,,,2.13,2.03,0.76,10.6,11.06,,,,,,,,,,,
33854-16-9,ProstaglandinF2 methylester,,,,,1.44,2.12,0.76,14.096,11.06,,,,,,,,,,,
144-62-7,Oxalic acid,,,,,0.4,1.21,0.75,2.835,11.06,,,,,,,,,,,
769-39-1,2.3.5.6-Tetrafluorophenol,,,,,0.4,0.81,0.75,3.63,11.06,,,,,,,,,,,
110-16-7,Maleic acid,,,,,0.71,1.19,0.75,4.076,11.06,,,,,,,,,,,
1460-57-7,trans-Cyclohexane-1.2-diol,,,,,0.63,0.8,0.75,4.182,11.06,,,,,,,,,,,
42565-22-0,trans-Cyclooctane-1.2-diol,,,,,0.73,0.85,0.75,5.423,11.06,,,,,,,,,,,
50-84-0,2.4-Dichlorobenzoic acid,,,,,0.95,1,0.75,5.63,11.06,,,,,,,,,,,
3937-56-2,Nonan-1.9-diol,,,,,0.38,0.98,0.75,5.78,11.06,,,,,,,,,,,
321-14-2,5-Chlorosalicylic acid,,,,,1.18,0.98,0.75,5.8,11.06,,,,,,,,,,,
4869-59-4,3-(Mercapto)benzoic acid,,,,,1.22,1.08,0.75,5.811,11.06,,,,,,,,,,,
315-30-0,Allopurinol,,,,,1.46,1.7,0.75,5.85,11.06,,,,,,,,,,,
112-47-0,Decan-1.10-diol,,,,,0.37,0.96,0.75,6.18,11.06,,,,,,,,,,,
5428-54-6,2-Methyl-5-nitrophenol,,,,,1.08,1.52,0.75,6.222,11.06,,,,,,,,,,,
765-04-8,Undecan-1.11-diol,,,,,0.37,0.98,0.75,6.58,11.06,,,,,,,,,,,
645-09-0,3-Nitrobenzamide,,,,,1.27,2.14,0.75,6.907,11.06,,,,,,,,,,,
619-80-7,4-Nitrobenzamide,,,,,1.25,2.17,0.75,6.91,11.06,,,,,,,,,,,
5675-51-4,1.12-Dodecanediol,,,,,0.36,0.98,0.75,6.97,11.06,,,,,,,,,,,
530-57-4,3.5-Dimethoxy-4-hydroxybenzoic acid,,,,,0.96,1.74,0.75,7.079,11.06,,,,,,,,,,,
528-45-0,3.4-Dinitrobenzoic acid,,,,,1.25,1.9,0.75,7.13,11.06,,,,,,,,,,,
74-55-5,Ethambutol,,,,,0.52,1.21,0.75,7.55,11.06,,,,,,,,,,,
28169-46-2,3.5-dinitro-2-methylbenzoic acid,,,,,1.31,2.12,0.75,8.04,11.06,,,,,,,,,,,
4394-00-7,Niflumic acid,,,,,1.54,1.71,0.75,9.277,11.06,,,,,,,,,,,
6068-76-4,2'.3-Dihydroxyflavone,,,,,2.18,1.9,0.75,10.21,11.06,,,,,,,,,,,
598-78-7,2-Chloropropanoic acid,,,,,0.38,0.8,0.74,3.15,11.06,,,,,,,,,,,
4170-24-5,2-Chlorobutanoic acid,,,,,0.36,0.85,0.74,3.64,11.06,,,,,,,,,,,
444-30-4,2-Trifluoromethylphenol,,,,,0.42,0.43,0.74,3.662,11.06,,,,,,,,,,,
565-64-0,2.3-Dichloropropanoic acid,,,,,0.47,1.5,0.74,4.347,11.06,,,,,,,,,,,
2991-28-8,2.5-Difluorobenzoic acid,,,,,0.69,0.82,0.74,4.429,11.06,,,,,,,,,,,
4519-39-5,2.3-Difluorobenzoic acid,,,,,0.69,0.88,0.74,4.481,11.06,,,,,,,,,,,
110-97-4,Diisopropanolamine,,,,,0.44,0.86,0.74,4.934,11.06,,,,,,,,,,,
591-27-5,3-Aminophenol,,,,,1.13,1.64,0.74,5.304,11.06,,,,,,,,,,,
1074-36-8,4-(Mercapto)benzoic acid,,,,,1.22,1.08,0.74,5.808,11.06,,,,,,,,,,,
828-01-3,Phenyllactic acid,,,,,0.88,1.09,0.74,5.95,11.06,,,,,,,,,,,
88-67-5,2-Iodobenzoic acid,,,,,1.31,1.27,0.74,6.364,11.06,,,,,,,,,,,
56-91-7,4-Aminomethylbenzoic acid,,,,,1.21,1.48,0.74,6.393,11.06,,,,,,,,,,,
4191-73-5,Isopropyl 4-hydroxybenzoate,,,,,0.87,1.45,0.74,6.804,11.06,,,,,,,,,,,
94-13-3,n-Propyl 4-hydroxybenzoate,,,,,0.9,1.45,0.74,6.894,11.06,,,,,,,,,,,
3119-02-6,4-Cyanobenzenesulfonamide,,,,,1.26,1.97,0.74,7.183,11.06,,,,,,,,,,,
94-26-8,n-Butyl paraben,,,,,0.9,1.47,0.74,7.406,11.06,,,,,,,,,,,
6521-29-5,Pentyl 4-hydroxybenzoate,,,,,0.9,1.47,0.74,7.91,11.06,,,,,,,,,,,
1083-27-8,Hexyl 4-hydroxybenzoate,,,,,0.89,1.47,0.74,8.42,11.06,,,,,,,,,,,
57-53-4,Meprobamate,,,,,0.58,2.58,0.74,8.577,11.06,,,,,,,,,,,
15879-93-3,Chloralose,,,,,1.44,1.56,0.74,8.75,11.06,,,,,,,,,,,
1085-12-7,Heptyl 4-hydroxybenzoate,,,,,0.89,1.48,0.74,8.92,11.06,,,,,,,,,,,
1219-38-1,Octyl 4-hydroxybenzoate,,,,,0.89,1.49,0.74,9.42,11.06,,,,,,,,,,,
25451-15-4,Felbamate,,,,,1.19,3.04,0.74,9.9,11.06,,,,,,,,,,,
598-72-1,2-Bromopropanoic acid,,,,,0.51,0.91,0.73,3.534,11.06,,,,,,,,,,,
80-58-0,2-Bromobutanoic acid,,,,,0.5,1.05,0.73,4.223,11.06,,,,,,,,,,,
455-86-7,3.4-Difluorobenzoic acid,,,,,0.69,0.68,0.73,4.298,11.06,,,,,,,,,,,
69-72-7,2-Hydroxybenzoic acid,,,,,0.9,0.85,0.73,4.732,11.06,,,,,,,,,,,
100-83-4,3-Hydroxybenzaldehyde,,,,,0.99,1.38,0.73,5.06,11.06,,,,,,,,,,,
121-92-6,3-Nitrobenzoic acid,,,,,0.99,1.18,0.73,5.601,11.06,,,,,,,,,,,
95-95-4,2.4.5-Trichlorophenol,,,,,1.07,0.92,0.73,5.665,11.06,,,,,,,,,,,
1975-50-4,2-Methyl-3-nitrobenzoic acid,,,,,0.99,1.32,0.73,6.239,11.06,,,,,,,,,,,
120-47-8,Ethyl 4-hydroxybenzoate,,,,,0.91,1.44,0.73,6.33,11.06,,,,,,,,,,,
1878-88-2,m-Nitrophenoxyacetic acid,,,,,1.18,1.47,0.73,6.819,11.06,,,,,,,,,,,
1798-11-4,p-Nitrophenoxyacetic acid,,,,,1.18,1.47,0.73,6.819,11.06,,,,,,,,,,,
1878-87-1,o-Nitrophenoxyacetic acid,,,,,1.18,1.5,0.73,6.843,11.06,,,,,,,,,,,
22494-42-4,Diflunisal,,,,,1.55,1.49,0.73,8.565,11.06,,,,,,,,,,,
51940-44-4,Pipemidic acid,,,,,1.97,1.91,0.73,11.345,11.06,,,,,,,,,,,
50-21-5,Lactic acid,,,,,0.35,0.86,0.72,2.874,11.06,,,,,,,,,,,
110-63-4,1.4-Butanediol,,,,,0.4,0.93,0.72,3.795,11.06,,,,,,,,,,,
625-69-4,Pentan-2.4-diol,,,,,0.32,0.95,0.72,3.915,11.06,,,,,,,,,,,
111-29-5,Pentan-1.5-diol,,,,,0.39,0.9,0.72,4.2,11.06,,,,,,,,,,,
928-40-5,Hexan-1.5-diol,,,,,0.38,0.93,0.72,4.438,11.06,,,,,,,,,,,
629-11-8,Hexan-1.6-diol,,,,,0.39,0.96,0.72,4.6,11.06,,,,,,,,,,,
207511-18-0,4-Methoxypyridine-N-oxide,,,,,0.72,1.18,0.72,4.626,11.06,,,,,,,,,,,
629-30-1,Heptan-1.7-diol,,,,,0.38,0.97,0.72,4.98,11.06,,,,,,,,,,,
14474-56-7,4-Ethoxypyridine N-oxide,,,,,0.72,1.19,0.72,5.135,11.06,,,,,,,,,,,
349-82-6,m-Trifluoromethylphenoxyacetic acid,,,,,0.47,0.7,0.72,5.268,11.06,,,,,,,,,,,
163839-73-4,p-Trifluoromethylphenoxyacetic acid,,,,,0.47,0.7,0.72,5.268,11.06,,,,,,,,,,,
629-41-4,Octan-1.8-diol,,,,,0.38,0.97,0.72,5.397,11.06,,,,,,,,,,,
51-67-2,4-Hydroxy-2-phenylethylamine,,,,,1.04,1.17,0.72,5.812,11.06,,,,,,,,,,,
122-88-3,p-Chlorophenoxyacetic acid,,,,,1.02,1.01,0.72,6.012,11.06,,,,,,,,,,,
588-32-9,m-Chlorophenoxyacetic acid,,,,,1.02,1.03,0.72,6.031,11.06,,,,,,,,,,,
614-61-9,o-Chlorophenoxyacetic acid,,,,,1.02,1.06,0.72,6.056,11.06,,,,,,,,,,,
39608-47-4,3-Chloro-4-nitrobenzoic acid,,,,,1.25,1.45,0.72,6.639,11.06,,,,,,,,,,,
530-78-9,Flufenamic acid,,,,,1.37,1.29,0.72,8.816,11.06,,,,,,,,,,,
58-96-8,Uridine,,,,,1.77,2.29,0.72,9.267,11.06,,,,,,,,,,,
13710-19-5,Tolfenamic acid,,,,,1.84,1.43,0.72,9.765,11.06,,,,,,,,,,,
1583-58-0,2.4-Difluorobenzoic acid,,,,,0.69,0.82,0.71,4.412,11.06,,,,,,,,,,,
122-59-8,Phenoxyacetic acid,,,,,0.91,0.93,0.71,5.369,11.06,,,,,,,,,,,
3839-22-3,2-Cyanobenzoic acid,,,,,0.86,1.29,0.71,5.48,11.06,,,,,,,,,,,
67003-50-3,a-Methoxy-p-toluic acid,,,,,0.78,1.04,0.71,5.525,11.06,,,,,,,,,,,
1643-13-8,m-Methylphenoxyacetic acid,,,,,0.91,0.93,0.71,5.846,11.06,,,,,,,,,,,
1878-49-5,o-Methylphenoxyacetic acid,,,,,0.91,0.93,0.71,5.846,11.06,,,,,,,,,,,
940-64-7,p-Methylphenoxyacetic acid,,,,,0.91,0.93,0.71,5.846,11.06,,,,,,,,,,,
99-76-3,Methyl paraben,,,,,0.93,1.46,0.71,5.914,11.06,,,,,,,,,,,
50-78-2,2-acetoxybenzoic acid,,,,,0.78,1.69,0.71,6.279,11.06,,,,,,,,,,,
2088-24-6,m-Methoxyphenoxyacetic acid,,,,,1.01,1.13,0.71,6.359,11.06,,,,,,,,,,,
1877-75-4,p-Methoxyphenoxyacetic acid,,,,,1.02,1.13,0.71,6.59,11.06,,,,,,,,,,,
99-28-5,2.6-dibromo-4-nitrophenol,,,,,1.56,1.76,0.71,7.572,11.06,,,,,,,,,,,
50-06-6,Phenobarbital,,,,,1.63,1.72,0.71,8.956,11.06,,,,,,,,,,,
3701-01-7,Benzene-1.3-disulfonamide,,,,,1.65,2.53,0.71,8.97,11.06,,,,,,,,,,,
6665-67-4,4'.5-Dihydroxyflavone,,,,,2.14,1.94,0.71,10.18,11.06,,,,,,,,,,,
148356-24-5,4'.5-Dihydroxyisoflavone,,,,,2.14,1.99,0.71,10.24,11.06,,,,,,,,,,,
80-32-0,Sulfachlorpyridazine,,,,,2.24,3.04,0.71,11.42,11.06,,,,,,,,,,,
31431-39-7,Mebendazole,,,,,2.74,2.6,0.71,12.77,11.06,,,,,,,,,,,
126-30-7,2.2-Dimethylpropan-1.3-diol,,,,,0.37,0.9,0.7,3.89,11.06,,,,,,,,,,,
445-29-4,2-Fluorobenzoic acid,,,,,0.8,0.71,0.7,4.387,11.06,,,,,,,,,,,
591-20-8,3-Bromophenol,,,,,1.06,1.13,0.7,5.144,11.06,,,,,,,,,,,
619-68-1,4-Nitrosobenzoic acid,,,,,0.93,1.23,0.7,5.383,11.06,,,,,,,,,,,
77-86-1,Tris(hydroxymethyl)aminomethane,,,,,0.82,2.22,0.7,5.468,11.06,,,,,,,,,,,
626-02-8,3-Iodophenol,,,,,1.37,1.2,0.7,5.528,11.06,,,,,,,,,,,
15950-66-0,2.3.4-Trichlorophenol,,,,,1.07,0.96,0.7,5.63,11.06,,,,,,,,,,,
866-32-0,dibutylphosphinic acid,,,,,0.23,0.64,0.7,5.714,11.06,,,,,,,,,,,
139-85-5,3.4-Dihydroxybenzaldehyde,,,,,1.18,1.58,0.7,5.826,11.06,,,,,,,,,,,
7697-26-9,4-Methyl-3-bromobenzoic acid,,,,,1,1.1,0.7,6.077,11.06,,,,,,,,,,,
4901-51-3,2.3.4.5-Tetrachlorophenol,,,,,1.17,0.88,0.7,6.353,11.06,,,,,,,,,,,
5081-36-7,3-Methoxy-4-nitrobenzoic acid,,,,,1.08,1.31,0.7,6.358,11.06,,,,,,,,,,,
96-99-1,4-Chloro-3-nitrobenzoic acid,,,,,1.25,1.47,0.7,6.685,11.06,,,,,,,,,,,
99-34-3,3.5-dinitrobenzoic acid,,,,,1.25,1.63,0.7,6.984,11.06,,,,,,,,,,,
4707-47-5,Methyl-2.4-dihydroxy-3.6-dimethyl benzoate,,,,,1.06,1.34,0.7,7.13,11.06,,,,,,,,,,,
1565-17-9,4-Acetylbenzenesulfonamide,,,,,1.34,1.74,0.7,7.565,11.06,,,,,,,,,,,
13020-57-0,3-Hydroxybenzophenone,,,,,1.65,1.68,0.7,8.62,11.06,,,,,,,,,,,
4044-00-2,5.7-Dihydroxyisoflavone,,,,,2.13,2,0.7,10.23,11.06,,,,,,,,,,,
69806-34-4,Haloxyfop,,,,,1.27,1.8,0.7,10.48,11.06,,,,,,,,,,,
60400-92-2,Proxicromil,,,,,1.79,1.95,0.7,11.24,11.06,,,,,,,,,,,
85721-33-1,Ciprofloxacin,,,,,2.2,2.34,0.7,12.24,11.06,,,,,,,,,,,
34552-84-6,Isoxicam,,,,,2.52,2.31,0.7,12.47,11.06,,,,,,,,,,,
59804-37-4,Tenoxicam,,,,,2.64,2.82,0.7,12.95,11.06,,,,,,,,,,,
34042-85-8,Sudoxicam,,,,,2.58,3.04,0.7,13.09,11.06,,,,,,,,,,,
56211-40-6,Torasemide,,,,,2.18,2.18,0.7,13.23,11.06,,,,,,,,,,,
36322-90-4,Piroxicam,,,,,2.56,2.76,0.7,13.25,11.06,,,,,,,,,,,
17560-51-9,Metolazone,,,,,2.69,2.84,0.7,14.22,11.06,,,,,,,,,,,
108-43-0,3-Chlorophenol,,,,,0.91,1.06,0.69,4.773,11.06,,,,,,,,,,,
1642-81-5,a-Chloro-p-toluic acid,,,,,0.95,1.25,0.69,5.877,11.06,,,,,,,,,,,
3118-68-1,3-Cyanobenzenesulfonamide,,,,,1.26,1.92,0.69,7.117,11.06,,,,,,,,,,,
94-18-8,Benzyl 4-hydroxybenzoate,,,,,1.46,1.95,0.69,8.99,11.06,,,,,,,,,,,
4143-63-9,4'-Hydroxyflavone,,,,,2,1.78,0.69,9.644,11.06,,,,,,,,,,,
480-40-0,5.7-Dihydroxyflavone,,,,,2.13,1.98,0.69,10.22,11.06,,,,,,,,,,,
491-80-5,5.7-Dihydroxy-4'-methoxyflavone 14764,,,,,2.2,2.09,0.69,11.08,11.06,,,,,,,,,,,
372-20-3,3-Fluorophenol,,,,,0.67,0.98,0.68,3.842,11.06,,,,,,,,,,,
455-40-3,3.5-Difluorobenzoic acid,,,,,0.69,0.68,0.68,4.282,11.06,,,,,,,,,,,
118-91-2,2-Chlorobenzoic acid,,,,,0.84,1.01,0.68,4.84,11.06,,,,,,,,,,,
540-38-5,4-Iodophenol,,,,,1.38,1.22,0.68,5.492,11.06,,,,,,,,,,,
933-78-8,2.3.5-Trichlorophenol,,,,,1.07,0.94,0.68,5.494,11.06,,,,,,,,,,,
62-23-7,4-Nitrobenzoic acid,,,,,0.99,1.52,0.68,5.77,11.06,,,,,,,,,,,
1466-76-8,2.6-Dimethoxybenzoic acid,,,,,0.88,1.68,0.68,6.7,11.06,,,,,,,,,,,
4052-30-6,4-(Methylsulfonyl)benzoic acid,,,,,1.06,1.78,0.68,7.081,11.06,,,,,,,,,,,
82935-36-2,2.6-Diethoxybenzoic acid,,,,,0.87,1.68,0.68,7.68,11.06,,,,,,,,,,,
947-84-2,2-Phenylbenzoic acid,,,,,1.48,1.8,0.68,8.333,11.06,,,,,,,,,,,
13057-72-2,7-Hydroxyisoflavone,,,,,1.98,1.68,0.68,9.52,11.06,,,,,,,,,,,
3930-20-9,Sotalol,,,,,1.47,1.55,0.68,9.95,11.06,,,,,,,,,,,
57-66-9,Probenecid,,,,,1.25,1.77,0.68,10.16,11.06,,,,,,,,,,,
72-14-0,Sulfathiazole,,,,,2.11,2.5,0.68,10.18,11.06,,,,,,,,,,,
56-75-7,Chloramphenicol,,,,,1.85,1.91,0.68,10.82,11.06,,,,,,,,,,,
106-48-9,4-Chlorophenol,,,,,0.92,1.08,0.67,4.775,11.06,,,,,,,,,,,
106-41-2,4-Bromophenol,,,,,1.08,1.17,0.67,5.004,11.06,,,,,,,,,,,
59-50-7,4-Chloro-3-methylphenol,,,,,0.92,0.99,0.67,5.081,11.06,,,,,,,,,,,
51-44-5,3.4-dichlorobenzoic acid,,,,,0.95,0.92,0.67,5.623,11.06,,,,,,,,,,,
95-14-7,1H-benzotriazole,,,,,1.47,1.46,0.67,5.669,11.06,,,,,,,,,,,
453-71-4,3-Nitro-4-fluorobenzoic acid,,,,,1.02,1.39,0.67,5.9,11.06,,,,,,,,,,,
619-08-9,2-Chloro-4-nitrophenol,,,,,1.25,1.28,0.67,5.919,11.06,,,,,,,,,,,
51-36-5,3.5-Dichlorobenzoic acid,,,,,1.14,1.04,0.67,5.948,11.06,,,,,,,,,,,
66-56-8,2.3-dinitrophenol,,,,,1.2,1.48,0.67,6.197,11.06,,,,,,,,,,,
2516-96-3,2-Chloro-5-nitrobenzoic acid,,,,,1.25,1.4,0.67,6.513,11.06,,,,,,,,,,,
701-34-8,4-Bromobenzenesulfonamide,,,,,1.4,1.55,0.67,7.016,11.06,,,,,,,,,,,
77-65-6,Adalin,,,,,0.86,1.52,0.67,7.11,11.06,,,,,,,,,,,
7646-81-3,Dihexylphosphinic acid,,,,,0.23,0.45,0.67,7.608,11.06,,,,,,,,,,,
3011-76-5,diheptylphosphinic acid,,,,,0.23,0.43,0.67,8.614,11.06,,,,,,,,,,,
82560-07-4,2.6-Dipropoxybenzoic acid,,,,,0.86,1.68,0.67,8.66,11.06,,,,,,,,,,,
6665-86-7,7-Hydroxyflavone,,,,,1.99,1.66,0.67,9.488,11.06,,,,,,,,,,,
532-03-6,Methocarbamol,,,,,1.54,2.1,0.67,9.58,11.06,,,,,,,,,,,
683-19-2,Dioctylphosphinic acid,,,,,0.23,0.43,0.67,9.63,11.06,,,,,,,,,,,
51-06-9,Procainamide,,,,,1.27,2.58,0.67,10.344,11.06,,,,,,,,,,,
18046-21-4,Fentiazac,,,,,2.36,2.06,0.67,12.36,11.06,,,,,,,,,,,
119914-60-2,Grepafloxacin,,,,,2.23,3.04,0.67,14.01,11.06,,,,,,,,,,,
598-42-5,Glycolamide,,,,,0.47,1.1,0.66,2.91,11.06,,,,,,,,,,,
65144-02-7,Lactamide,,,,,0.46,1.15,0.66,3.435,11.06,,,,,,,,,,,
455-24-3,4-Trifluoromethylbenzoic acid,,,,,0.51,0.85,0.66,4.89,11.06,,,,,,,,,,,
103-82-2,2-Phenylacetic acid,,,,,0.73,1.08,0.66,4.96,11.06,,,,,,,,,,,
123-30-8,4-Aminophenol,,,,,1.15,1.47,0.66,5.2,11.06,,,,,,,,,,,
19438-10-9,Methyl 3-hydroxybenzoate,,,,,0.91,1.4,0.66,5.765,11.06,,,,,,,,,,,
96-98-0,4-Methyl-3-nitrobenzoic acid,,,,,0.99,1.18,0.66,6.096,11.06,,,,,,,,,,,
3113-71-1,3-Methyl-4-nitrobenzoic acid,,,,,0.99,1.18,0.66,6.237,11.06,,,,,,,,,,,
90-15-3,1-Naphthol,,,,,1.52,1.1,0.66,6.284,11.06,,,,,,,,,,,
89-41-8,4-Methoxy-3-nitrobenzoic acid,,,,,1.12,1.49,0.66,6.558,11.06,,,,,,,,,,,
87-86-5,Pentachlorophenol,,,,,1.22,0.91,0.66,6.805,11.06,,,,,,,,,,,
6274-22-2,4-Amino-N-methylbenzamide,,,,,1.19,1.93,0.66,6.896,11.06,,,,,,,,,,,
1129-26-6,4-Methoxybenzenesulfonamide,,,,,1.23,1.65,0.66,6.964,11.06,,,,,,,,,,,
89599-01-9,3-Bromobenzenesulfonamide,,,,,1.4,1.5,0.66,6.965,11.06,,,,,,,,,,,
33963-58-5,4-(Methylsulfinyl)benzoic acid,,,,,1.29,1.7,0.66,7.15,11.06,,,,,,,,,,,
98-18-0,3-Aminobenzenesulfonamide,,,,,1.48,2,0.66,7.21,11.06,,,,,,,,,,,
35203-88-4,3-Acetylbenzenesulfonamide,,,,,1.34,1.73,0.66,7.534,11.06,,,,,,,,,,,
20782-57-4,3(3-Chloro-4-methoxyphenyl)-1-methylurea,,,,,1.23,1.6,0.66,7.818,11.06,,,,,,,,,,,
50702-39-1,3-Iodobenzenesulfonamide,,,,,1.71,1.75,0.66,7.888,11.06,,,,,,,,,,,
