CAS , ringCount
139-45-7 ,0
13952-84-6 ,0
139-66-2 ,2
13979-81-2 ,1
139-85-5 ,1
14010-23-2 ,0
140-10-3 ,1
140-11-4 ,1
14028-44-5 ,2
140-29-4 ,1
140-39-6 ,1
140-57-8 ,1
140-65-8 ,1
140-67-0 ,1
140-88-5 ,0
14090-87-0 ,0
14090-88-1 ,0
14098-44-3 ,1
141-03-7 ,0
141-06-0 ,0
141-12-8 ,0
141-28-6 ,0
141-32-2 ,0
141-43-5 ,0
141-73-1 ,0
14174-08-4 ,1
141-76-4 ,0
141-79-7 ,0
141-82-2 ,0
14187-32-7 ,2
141-93-5 ,1
141-97-9 ,0
14199-15-6 ,1
1420-07-1 ,1
142-09-6 ,0
142-28-9 ,0
14248-50-1 ,1
142-62-1 ,0
14267-92-6 ,0
142-68-7 ,0
142-82-5 ,0
142-83-6 ,0
142-84-7 ,0
142-90-5 ,0
14290-92-7 ,0
142-92-7 ,0
142-96-1 ,0
143-07-7 ,0
143-08-8 ,0
14309-40-1 ,1
14309-41-2 ,1
1430-97-3 ,2
143-10-2 ,0
143-13-5 ,0
14315-11-8 ,2
14315-14-1 ,2
143-15-7 ,0
14321-27-8 ,1
143-22-6 ,0
143-24-8 ,0
143-27-1 ,0
143-36-2 ,0
143390-89-0 ,2
1435-68-3 ,2
1438-94-4 ,2
144-11-6 ,1
14417-01-7 ,1
144-48-9 ,0
144-49-0 ,0
144-62-7 ,0
144-80-9 ,1
144-83-2 ,2
14508-49-7 ,1
14529-53-4 ,1
1453-25-4 ,0
1453-58-3 ,1
1454-84-8 ,0
1454-85-9 ,0
1455-18-1 ,2
1455-21-6 ,0
1459-93-4 ,1
1460-57-7 ,0
14611-51-9 ,1
1461-25-2 ,0
1462-03-9 ,0
1462-84-6 ,1
1463-01-0 ,1
1463-17-8 ,2
146-54-3 ,2
14667-55-1 ,1
1466-76-8 ,1
14676-29-0 ,0
14686-13-6 ,0
14686-14-7 ,0
1468-95-7 ,3
1470-94-6 ,1
1476-11-5 ,0
14763-60-1 ,1
14763-61-2 ,1
1477-50-5 ,2
147-81-9 ,0
14804-32-1 ,1
1482-13-9 ,0
148-24-3 ,2
1483-60-9 ,1
14838-15-4 ,1
1484-12-4 ,3
1484-84-0 ,0
14850-23-8 ,0
148-53-8 ,1
148-79-8 ,3
1489-53-8 ,1
14906-59-3 ,1
14912-44-8 ,0
1491-59-4 ,1
14920-81-1 ,1
149-30-4 ,2
149-32-6 ,0
1493-27-2 ,1
14938-35-3 ,1
1498-96-0 ,1
149-91-7 ,1
15009-91-3 ,1
15012-36-9 ,1
150-13-0 ,1
150-19-6 ,1
1502-05-2 ,0
1502-06-3 ,0
1502-38-1 ,0
1504-74-1 ,1
150-60-7 ,2
150-68-5 ,1
150-76-5 ,1
150-78-7 ,1
150-86-7 ,0
151-00-8 ,0
151-10-0 ,1
151319-34-5 ,3
1515-95-3 ,1
1518-72-5 ,0
15192-80-0 ,0
1520-21-4 ,1
152-62-5 ,0
1528-30-9 ,0
15299-99-7 ,2
1530-03-6 ,2
15307-86-5 ,2
1532-72-5 ,2
1534-08-3 ,0
1538-74-5 ,1
15411-43-5 ,1
15423-57-1 ,0
15457-05-3 ,2
1551-21-9 ,0
1556-08-7 ,0
1556-09-8 ,0
1559-34-8 ,0
15594-90-8 ,0
1563-66-2 ,1
156-38-7 ,1
156-43-4 ,1
1565-17-9 ,1
156-59-2 ,0
15676-16-1 ,1
15687-27-1 ,1
156-87-6 ,0
1569-01-3 ,0
1570-45-2 ,1
1570-64-5 ,1
1570-65-6 ,1
15706-73-7 ,0
15707-24-1 ,1
1571-86-4 ,1
15726-15-5 ,0
15764-16-6 ,1
1576-67-6 ,3
1576-87-0 ,0
1576-96-1 ,0
1577-43-1 ,0
1583-58-0 ,1
15862-07-4 ,2
15869-80-4 ,0
15869-85-9 ,0
15869-86-0 ,0
15869-87-1 ,0
15869-92-8 ,0
15869-93-9 ,0
15869-94-0 ,0
15869-95-1 ,0
1589-47-5 ,0
1595-04-6 ,1
1595-05-7 ,1
15950-66-0 ,1
1595-06-8 ,1
1595-11-5 ,1
1595-16-0 ,1
15968-05-5 ,2
15972-60-8 ,1
1601-71-4 ,1
1601-73-6 ,1
16021-20-8 ,1
1604-28-0 ,0
16096-32-5 ,2
1610-17-9 ,1
1610-18-0 ,1
1611-92-3 ,1
1613-32-7 ,2
1613-34-9 ,2
1613-37-2 ,2
1613-45-2 ,0
1613-46-3 ,0
1617-18-1 ,0
162011-90-7 ,2
16219-75-3 ,0
16245-79-7 ,1
1628-89-3 ,1
1629-58-9 ,0
16308-92-2 ,1
1632-16-2 ,0
1632-76-4 ,1
1632-83-3 ,2
16339-04-1 ,0
16339-07-4 ,0
1634-04-4 ,0
1634-09-9 ,2
1638-22-8 ,1
1638-26-2 ,0
1639-09-4 ,0
1640-89-7 ,0
16409-45-3 ,0
1641-41-4 ,1
1642-81-5 ,1
1647-16-1 ,0
16491-36-4 ,0
16587-47-6 ,2
16587-50-1 ,2
16587-52-3 ,3
16605-91-7 ,2
16606-02-3 ,2
1663-35-0 ,0
1668-19-5 ,2
1671-75-6 ,1
1674-37-9 ,1
1674-38-0 ,1
16746-86-4 ,0
16747-25-4 ,0
16747-26-5 ,0
16747-28-7 ,0
16747-30-1 ,0
16747-31-2 ,0
16747-32-3 ,0
16747-33-4 ,0
16747-38-9 ,0
16747-50-5 ,0
1678-91-7 ,0
1678-92-8 ,0
1678-93-9 ,0
16789-46-1 ,0
1679-09-0 ,0
1679-47-6 ,0
1679-64-7 ,1
1687-61-2 ,1
1687-65-6 ,1
1689-84-5 ,1
16958-78-4 ,0
169590-42-5 ,3
16967-04-7 ,0
16982-00-6 ,1
17012-22-5 ,1
1703-52-2 ,1
17042-16-9 ,0
17057-91-9 ,2
1705-85-7 ,4
17059-44-8 ,1
17059-45-9 ,1
1706-11-2 ,1
17066-67-0 ,0
1707-03-5 ,2
1708-81-2 ,0
17171-72-1 ,1
17194-82-0 ,1
1721-89-7 ,2
1721-93-3 ,2
1722-12-9 ,1
17260-71-8 ,1
17283-81-7 ,0
17301-94-9 ,0
17302-01-1 ,0
1730-37-6 ,2
1731-79-9 ,0
1731-81-3 ,0
1731-84-6 ,0
1731-86-8 ,0
1731-88-0 ,0
1731-92-6 ,0
1731-94-8 ,0
1732-08-7 ,0
1732-09-8 ,0
