CAS,C,H,O,N,S,F,Cl,Br,I,Si
109-09-1,5,4,0,1,0,0,1,0,0,0
109-12-6,,,,,,,,,,
109-19-3,9,18,2,0,0,0,0,0,0,0
109-21-7,8,16,2,0,0,0,0,0,0,0
109-49-9,6,10,1,0,0,0,0,0,0,0
109-52-4,5,10,2,0,0,0,0,0,0,0
109-53-5,6,12,1,0,0,0,0,0,0,0
109-55-7,5,14,0,2,0,0,0,0,0,0
109-57-9,4,8,0,2,1,0,0,0,0,0
109-59-1,5,12,2,0,0,0,0,0,0,0
109-60-4,5,10,2,0,0,0,0,0,0,0
109637-83-4,,,,,,,,,,
109-64-8,3,6,0,0,0,0,0,2,0,0
109-65-9,4,9,0,0,0,0,0,1,0,0
109-69-3,4,9,0,0,0,0,1,0,0,0
109-70-6,3,6,0,0,0,0,1,1,0,0
109-73-9,4,11,0,1,0,0,0,0,0,0
109-74-0,4,7,0,1,0,0,0,0,0,0
109-75-1,4,5,0,1,0,0,0,0,0,0
109-76-2,3,10,0,2,0,0,0,0,0,0
109-77-3,3,2,0,2,0,0,0,0,0,0
109-79-5,4,10,0,0,1,0,0,0,0,0
109-80-8,3,8,0,0,2,0,0,0,0,0
109-83-1,3,9,1,1,0,0,0,0,0,0
109-85-3,3,9,1,1,0,0,0,0,0,0
109-86-4,3,8,2,0,0,0,0,0,0,0
109889-09-0,,,,,,,,,,
109-89-7,4,11,0,1,0,0,0,0,0,0
109-96-6,4,7,0,1,0,0,0,0,0,0
109-97-7,4,5,0,1,0,0,0,0,0,0
109-99-9,4,8,1,0,0,0,0,0,0,0
110-01-0,4,8,0,0,1,0,0,0,0,0
110-02-1,4,4,0,0,1,0,0,0,0,0
110-05-4,8,18,2,0,0,0,0,0,0,0
110-06-5,8,18,0,0,2,0,0,0,0,0
110104-37-5,10,13,4,5,0,0,0,0,0,0
110-12-3,7,14,1,0,0,0,0,0,0,0
110-13-4,6,10,2,0,0,0,0,0,0,0
110-14-5,4,8,2,2,0,0,0,0,0,0
110-15-6,4,6,4,0,0,0,0,0,0,0
110-16-7,4,4,4,0,0,0,0,0,0,0
110-17-8,4,4,4,0,0,0,0,0,0,0
110-19-0,6,12,2,0,0,0,0,0,0,0
110-27-0,17,34,2,0,0,0,0,0,0,0
110-38-3,12,24,2,0,0,0,0,0,0,0
11039-70-6,,,,,,,,,,
110-40-7,14,26,4,0,0,0,0,0,0,0
110-42-9,11,22,2,0,0,0,0,0,0,0
110-43-0,7,14,1,0,0,0,0,0,0,0
110-44-1,6,8,2,0,0,0,0,0,0,0
110-45-2,6,12,2,0,0,0,0,0,0,0
110-46-3,5,11,2,1,0,0,0,0,0,0
110-49-6,5,10,3,0,0,0,0,0,0,0
110-52-1,4,8,0,0,0,0,0,2,0,0
110-53-2,5,11,0,0,0,0,0,1,0,0
110-54-3,6,14,0,0,0,0,0,0,0,0
110-56-5,4,8,0,0,0,0,2,0,0,0
110-57-6,4,6,0,0,0,0,2,0,0,0
110-58-7,5,13,0,1,0,0,0,0,0,0
110-59-8,5,9,0,1,0,0,0,0,0,0
110-60-1,4,12,0,2,0,0,0,0,0,0
110-61-2,4,4,0,2,0,0,0,0,0,0
110-62-3,5,10,1,0,0,0,0,0,0,0
110-63-4,4,10,2,0,0,0,0,0,0,0
110-64-5,4,8,2,0,0,0,0,0,0,0
110-66-7,5,12,0,0,1,0,0,0,0,0
110-68-9,5,13,0,1,0,0,0,0,0,0
110-69-0,4,9,1,1,0,0,0,0,0,0
110-71-4,4,10,2,0,0,0,0,0,0,0
110-73-6,4,11,1,1,0,0,0,0,0,0
110-74-7,4,8,2,0,0,0,0,0,0,0
110-75-8,4,7,1,0,0,0,1,0,0,0
110-76-9,4,11,1,1,0,0,0,0,0,0
110-78-1,4,7,1,1,0,0,0,0,0,0
110-80-5,4,10,2,0,0,0,0,0,0,0
110-81-6,4,10,0,0,2,0,0,0,0,0
110-82-7,6,12,0,0,0,0,0,0,0,0
110-83-8,6,10,0,0,0,0,0,0,0,0
110-85-0,4,10,0,2,0,0,0,0,0,0
110-86-1,5,5,0,1,0,0,0,0,0,0
110-87-2,5,8,1,0,0,0,0,0,0,0
110-89-4,5,11,0,1,0,0,0,0,0,0
110-91-8,4,9,1,1,0,0,0,0,0,0
110-93-0,8,14,1,0,0,0,0,0,0,0
110-94-1,5,8,4,0,0,0,0,0,0,0
110-96-3,8,19,0,1,0,0,0,0,0,0
110-97-4,6,15,2,1,0,0,0,0,0,0
110-99-6,4,6,5,0,0,0,0,0,0,0
111-06-8,20,40,2,0,0,0,0,0,0,0
111-11-5,9,18,2,0,0,0,0,0,0,0
111-12-6,9,14,2,0,0,0,0,0,0,0
111-13-7,8,16,1,0,0,0,0,0,0,0
111-14-8,7,14,2,0,0,0,0,0,0,0
111-15-9,6,12,3,0,0,0,0,0,0,0
111-16-0,7,12,4,0,0,0,0,0,0,0
111-20-6,10,18,4,0,0,0,0,0,0,0
111-24-0,5,10,0,0,0,0,0,2,0,0
111-25-1,6,13,0,0,0,0,0,1,0,0
111-26-2,6,15,0,1,0,0,0,0,0,0
111-27-3,6,14,1,0,0,0,0,0,0,0
111-29-5,5,12,2,0,0,0,0,0,0,0
1113-02-6,5,12,4,1,1,0,0,0,0,0
111-30-8,5,8,2,0,0,0,0,0,0,0
111-31-9,6,14,0,0,1,0,0,0,0,0
111-34-2,6,12,1,0,0,0,0,0,0,0
111-35-3,5,12,2,0,0,0,0,0,0,0
111-36-4,5,9,1,1,0,0,0,0,0,0
111-42-2,4,11,2,1,0,0,0,0,0,0
111-43-3,6,14,1,0,0,0,0,0,0,0
111-44-4,4,8,1,0,0,0,2,0,0,0
111-45-5,5,10,2,0,0,0,0,0,0,0
111-46-6,4,10,3,0,0,0,0,0,0,0
111-47-7,6,14,0,0,1,0,0,0,0,0
111-48-8,4,10,2,0,1,0,0,0,0,0
111-55-7,6,10,4,0,0,0,0,0,0,0
111-61-5,20,40,2,0,0,0,0,0,0,0
111-65-9,8,18,0,0,0,0,0,0,0,0
111-66-0,8,16,0,0,0,0,0,0,0,0
1116-76-3,24,51,0,1,0,0,0,0,0,0
111-68-2,7,17,0,1,0,0,0,0,0,0
111-69-3,6,8,0,2,0,0,0,0,0,0
111-70-6,7,16,1,0,0,0,0,0,0,0
1117-14-7,,,,,,,,,,
111-71-7,7,14,1,0,0,0,0,0,0,0
1117-59-5,11,22,2,0,0,0,0,0,0,0
111-76-2,6,14,2,0,0,0,0,0,0,0
111-77-3,5,12,3,0,0,0,0,0,0,0
111-78-4,8,12,0,0,0,0,0,0,0,0
1117-86-8,8,18,2,0,0,0,0,0,0,0
111-82-0,13,26,2,0,0,0,0,0,0,0
111-83-1,8,17,0,0,0,0,0,1,0,0
111-84-2,9,20,0,0,0,0,0,0,0,0
111-85-3,8,17,0,0,0,0,1,0,0,0
111-86-4,8,19,0,1,0,0,0,0,0,0
1118-69-0,5,11,1,1,0,0,0,0,0,0
111-87-5,8,18,1,0,0,0,0,0,0,0
111-88-6,8,18,0,0,1,0,0,0,0,0
111-90-0,6,14,3,0,0,0,0,0,0,0
111-91-1,5,10,2,0,0,0,2,0,0,0
111-92-2,8,19,0,1,0,0,0,0,0,0
1119-40-0,7,12,4,0,0,0,0,0,0,0
1119-44-4,7,12,1,0,0,0,0,0,0,0
1119-49-9,6,13,1,1,0,0,0,0,0,0
111-96-6,6,14,3,0,0,0,0,0,0,0
1120-06-5,10,22,1,0,0,0,0,0,0,0
1120-21-4,11,24,0,0,0,0,0,0,0,0
1120-28-1,21,42,2,0,0,0,0,0,0,0
1120-36-1,14,28,0,0,0,0,0,0,0,0
112-05-0,9,18,2,0,0,0,0,0,0,0
112-06-1,9,18,2,0,0,0,0,0,0,0
112-07-2,8,16,3,0,0,0,0,0,0,0
1120-72-5,6,10,1,0,0,0,0,0,0,0
1120-73-6,6,8,1,0,0,0,0,0,0,0
1120-87-2,5,4,0,1,0,0,0,1,0,0
1120-90-7,0,0,0,0,0,0,0,0,0,0
1121-07-9,5,7,2,1,0,0,0,0,0,0
112-12-9,11,22,1,0,0,0,0,0,0,0
