CAS (0),ChemicalName (1),Label (2),MRF (3),molecularWeight (4),overloadMass_1 (5),E (6),S (6),A (7),L (8),combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numSilicon,,,
118-58-1,Benzylsalicylate,,1.529,228.23,304.5,1.317,1.263,0.041,8.073,1578.7,2,14,12,3,0,0,0,0,0,0,,,
127-91-3,Beta-Pinene,,1.119,136.23,374.7,0.525,0.233,0,4.584,1396.4,0,10,16,0,0,0,0,0,0,0,,,
92-52-4,Biphenyl,,1.438,154.20,334.9,1.342,0.987,0,6.044,1472.4,2,12,10,0,0,0,0,0,0,0,,,
507-70-0,Borneol,,1.115,154.24,357.6,0.671,0.638,0.201,5.135,1391.9,0,10,18,1,0,0,0,0,0,0,,,
108-86-1,Bromobenzene,Halogenated,0.736,157.00,370.7,0.882,0.729,0,4.038,729.8,1,6,5,0,0,0,0,0,1,0,,,
71-36-3,Butan-1-ol,,0.432,74.12,397.9,0.219,0.446,0.336,2.577,595.7,0,4,10,1,0,0,0,0,0,0,,,
85-69-8,Butyl2-ethylhexylphthalate,,2.103,334.44,272.2,0.722,1.144,0,11.287,2545.2,0,20,30,4,0,0,0,0,0,0,,,
123-86-4,Butylacetate,,0.606,116.15,391.5,0.079,0.565,0,3.417,798.3,0,6,12,2,0,0,0,0,0,0,,,
136-60-7,Butylbenzoate,,1.214,178.22,346.4,0.668,0.877,0,5.954,1359.9,1,11,14,2,0,0,0,0,0,0,,,
85-68-7,Butylbenzylphthalate,,1.954,312.35,276.6,1.296,1.72,0,9.803,2223.2,1,19,20,4,0,0,0,0,0,0,,,
84-64-0,Butylcyclohexylphthalate,,1.813,304.37,285.9,1.083,1.423,0,9.6,2207,0,18,24,4,0,0,0,0,0,0,,,
89-19-0,Butyldecylphthalate,,2.356,362.49,307.1,0.742,1.354,0,8.397,2839.8,0,22,34,4,0,0,0,0,0,0,,,
84-78-6,Butyloctylphthalate,,2.103,334.44,304.9,0.751,1.593,0,8.32,2545.2,0,20,30,4,0,0,0,0,0,0,,,
142-77-8,Butyloleate,,2.588,338.55,293.8,0.024,0.628,0,10.855,3110.9,0,22,42,2,0,0,0,0,0,0,,,
123-95-5,Butylstearate,,2.626,340.57,292.9,0.051,0.52,0,11.001,3154.6,0,22,44,2,0,0,0,0,0,0,,,
86-74-8,Carbazole,,1.172,167.20,291.4,2.271,1.633,0.393,7.39,1458,0,12,9,0,1,0,0,0,0,0,,,
99-49-0,Carvone,,1.04,150.21,353.3,0.638,0.928,0,5.406,1304.5,0,10,14,1,0,0,0,0,0,0,,,
108-90-7,Chlorobenzene,Halogenated,0.661,112.55,379.3,0.718,0.656,0,3.622,714.3,1,6,5,0,0,0,0,1,0,0,,,
481-21-0,Cholestane,,3.227,372.65,253.5,1.186,0.391,0,13.004,3856.3,0,27,48,0,0,0,0,0,0,0,,,
57-88-5,Cholesterol,,3.148,386.64,234.2,1.353,1.097,0.212,13.389,3764.4,0,27,46,1,0,0,0,0,0,0,,,
604-35-3,Cholesterylacetate,,3.322,428.67,228.4,1.234,0.977,0,14.276,3967,0,29,48,2,0,0,0,0,0,0,,,
218-01-9,Chrysene,PAH,2.262,228.28,255.9,2.593,1.66,0,10.142,2137.5,4,18,12,0,0,0,0,0,0,0,,,
104-54-1,Cinnamylalcohol,,1.003,134.17,339.8,1.1,0.97,0.469,5.465,1113.5,1,9,10,1,0,0,0,0,0,0,,,
106-23-0,Citronellal,,1.115,154.24,365.6,0.287,0.674,0,5.076,1391.9,0,10,18,1,0,0,0,0,0,0,,,
91-64-5,Coumarin,,0.887,146.14,326.2,1.426,1.649,0,5.966,977.9,1,9,6,2,0,0,0,0,0,0,,,
108-93-0,Cyclohexanol,,0.647,100.16,378.2,0.474,0.638,0.246,3.722,846.5,0,6,12,1,0,0,0,0,0,0,,,
